id,temperatura,ph,value_R,value_R_desv,value_G,value_G_desv,value_B,value_B_desv,value_I,value_I_desv,photo_src,date,lectura_id,nombre,cluster,fase
24,27.1875,8.697786,64.48488,29.2530507566521,207.172736,36.80595846156304,137.366144,19.071559857169525,170.000304,32.27601982753735,photos/2025/02/12/photo_20250212_210002.jpg,2025-02-12 21:00:13,21,Cultivo1,0,Exponential
25,27.1875,8.769402,61.087392,28.462630322814228,203.736176,36.14867185522898,134.412896,18.493788217624207,166.719376,31.597178895759413,photos/2025/02/12/photo_20250212_220002.jpg,2025-02-12 22:00:13,22,Cultivo1,0,Exponential
26,27.1875,8.769402,61.503184,29.16658788331169,203.474272,36.83976625970931,134.446416,18.9364935999816,166.628176,32.274997922742365,photos/2025/02/12/photo_20250212_230002.jpg,2025-02-12 23:00:13,23,Cultivo1,0,Exponential
27,27.125,8.733594,60.466848,29.831831689183552,203.028464,37.62627004900571,134.265168,19.22974126047712,166.194784,32.96490271778978,photos/2025/02/13/photo_20250213_000002.jpg,2025-02-13 00:00:13,0,Cultivo1,0,Exponential
28,27.0625,8.704297,58.181104,28.566393159627275,199.584192,36.18929874572228,131.15136,18.05975285936061,162.98888,31.61249658514177,photos/2025/02/13/photo_20250213_010002.jpg,2025-02-13 01:00:13,1,Cultivo1,0,Exponential
29,27.0,8.730339,58.275376,29.2656112939063,197.361056,36.9193977004618,129.419728,18.27568417484347,161.178384,32.292958042714886,photos/2025/02/13/photo_20250213_020002.jpg,2025-02-13 02:00:13,2,Cultivo1,0,Exponential
30,27.0,8.798698,53.765536,28.09119941352622,194.772416,35.922220164167804,127.263248,16.80263796648324,158.50288,31.183889810374843,photos/2025/02/13/photo_20250213_030002.jpg,2025-02-13 03:00:13,3,Cultivo1,0,Exponential
31,26.875,8.691277,53.5656,28.751709208029773,193.03536,36.52288966758243,125.782336,17.03263222875431,157.0172,31.75644526958268,photos/2025/02/13/photo_20250213_040002.jpg,2025-02-13 04:00:13,4,Cultivo1,0,Exponential
32,26.8125,8.671745,54.067408,28.80001418621873,192.728496,36.68844130755604,125.43856,16.92478561641287,156.793872,31.86355095163777,photos/2025/02/13/photo_20250213_050002.jpg,2025-02-13 05:00:13,5,Cultivo1,0,Exponential
33,26.6875,8.655469,50.339104,28.37261374874187,189.035936,35.8922599539776,122.184448,15.560686375516472,153.23072,31.120965285183555,photos/2025/02/13/photo_20250213_060002.jpg,2025-02-13 06:00:13,6,Cultivo1,0,Exponential
34,26.5625,8.450391,49.3528,28.53171246280012,187.222096,36.11381742999186,120.687936,15.736265762880342,151.604608,31.31046523394912,photos/2025/02/13/photo_20250213_070002.jpg,2025-02-13 07:00:13,7,Cultivo1,0,Exponential
35,26.5,8.427605,48.058928,28.13263785136232,183.179088,35.49135837761435,117.090064,14.975560873997876,148.008288,30.752846946405725,photos/2025/02/13/photo_20250213_080002.jpg,2025-02-13 08:00:13,8,Cultivo1,0,Exponential
