id,temperatura,ph,value_R,value_R_desv,value_G,value_G_desv,value_B,value_B_desv,value_I,value_I_desv,photo_src,date,lectura_id,nombre,cluster,fase
25,27.1875,8.769402,61.087392,28.462630000000001,203.736176,36.14867200000000,134.412896,18.493787999999999,166.719376,31.597179000000001,photos/2025/02/12/photo_20250212_220002.jpg,2/12/25 22:00,22,Cultivo1,0,Exponential
26,27.1875,8.769402,61.503184,29.16658800000000,203.474272,36.83976600000000,134.446416,18.9364940000000,166.628176,32.274997999999997,photos/2025/02/12/photo_20250212_230002.jpg,2/12/25 23:00,23,Cultivo1,0,Exponential
27,27.125,8.733594,60.466848,29.831831999999999,203.028464,37.62627000000000,134.265168,19.22974100000000,166.194784,32.96490300000000,photos/2025/02/13/photo_20250213_000002.jpg,2/13/25 0:00,0,Cultivo1,0,Exponential
28,27.0625,8.704297,58.181104,28.566393000000001,199.584192,36.18929900000000,131.15136,18.05975300000000,162.98888,31.61249700000000,photos/2025/02/13/photo_20250213_010002.jpg,2/13/25 1:00,1,Cultivo1,0,Exponential
29,27.0,8.730339,58.275376,29.2656110000000,197.361056,36.9193980000000,129.419728,18.27568400000000,161.178384,32.292957999999999,photos/2025/02/13/photo_20250213_020002.jpg,2/13/25 2:00,2,Cultivo1,0,Exponential
30,27.0,8.798698,53.765536,28.09119900000000,194.772416,35.922220000000003,127.263248,16.80263800000000,158.50288,31.183890000000002,photos/2025/02/13/photo_20250213_030002.jpg,2/13/25 3:00,3,Cultivo1,0,Exponential
31,26.875,8.691277,53.5656,28.751709000000002,193.03536,36.52289000000000,125.782336,17.03263200000000,157.0172,31.75644500000000,photos/2025/02/13/photo_20250213_040002.jpg,2/13/25 4:00,4,Cultivo1,0,Exponential
32,26.8125,8.671745,54.067408,28.80001400000000,192.728496,36.68844100000000,125.43856,16.92478600000000,156.793872,31.86355100000000,photos/2025/02/13/photo_20250213_050002.jpg,2/13/25 5:00,5,Cultivo1,0,Exponential
33,26.6875,8.655469,50.339104,28.37261400000000,189.035936,35.8922600000000,122.184448,15.560686000000000,153.23072,31.120965000000002,photos/2025/02/13/photo_20250213_060002.jpg,2/13/25 6:00,6,Cultivo1,0,Exponential
34,26.5625,8.450391,49.3528,28.53171200000000,187.222096,36.11381700000000,120.687936,15.736266000000001,151.604608,31.31046500000000,photos/2025/02/13/photo_20250213_070002.jpg,2/13/25 7:00,7,Cultivo1,0,Exponential
